,MovieID,Title,Genres,MovieIDm,Year,1,2,3,4,5,n_5_star,n_4_star,n_ratings,WeightedScore
2651,2858,American Beauty (1999),Comedy|Drama,m2858,1999,83,134,358,890,1963,1963,890,6281,2504.7
253,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,m260,1977,19,62,288,796,1826,1826,796,5613,2274.4
1106,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,m1196,1980,22,83,375,1027,1483,1483,1027,5500,2149.6
1848,2028,Saving Private Ryan (1998),Action|Drama|War,m2028,1998,25,67,301,855,1405,1405,855,4913,1941.6
1108,1198,Raiders of the Lost Ark (1981),Action|Adventure,m1198,1981,4,37,213,760,1500,1500,760,4774,1932.8000000000002
579,593,"Silence of the Lambs, The (1991)",Drama|Thriller,m593,1991,37,43,246,902,1350,1350,902,4830,1911.6
2374,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,m2571,1999,37,119,263,741,1430,1430,741,4761,1889.5
2557,2762,"Sixth Sense, The (1999)",Thriller,m2762,1999,16,58,222,778,1385,1385,778,4622,1850.3000000000002
1120,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,m1210,1983,39,128,589,1099,1028,1028,1099,5010,1845.7
593,608,Fargo (1996),Crime|Drama|Thriller,m608,1996,57,85,297,796,1278,1278,796,4587,1795.2
513,527,Schindler's List (1993),Drama|War,m527,1993,19,28,186,596,1475,1475,596,4375,1791.3
309,318,"Shawshank Redemption, The (1994)",Drama,m318,1994,8,25,148,589,1457,1457,589,4273,1759.8000000000002
575,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,m589,1991,42,98,465,1102,942,942,1102,4693,1740.1999999999998
802,858,"Godfather, The (1972)",Action|Crime|Drama,m858,1972,18,38,178,514,1475,1475,514,4212,1734.1000000000001
106,110,Braveheart (1995),Action|Drama|War,m110,1995,37,92,337,771,1206,1206,771,4420,1718.3
1107,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,m1197,1987,22,44,328,738,1186,1186,738,4242,1662.8000000000002
1178,1270,Back to the Future (1985),Comedy|Sci-Fi,m1270,1985,20,103,550,1119,791,791,1119,4493,1629.8000000000002
2203,2396,Shakespeare in Love (1998),Comedy|Romance,m2396,1998,37,119,336,890,987,987,890,4246,1609.7
1485,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,m1617,1997,17,61,334,867,1009,1009,867,4164,1597.4
287,296,Pulp Fiction (1994),Crime|Drama,m296,1994,47,94,260,577,1193,1193,577,3941,1557.8000000000002
2785,2997,Being John Malkovich (1999),Comedy,m2997,1999,69,106,307,752,1007,1007,752,4000,1529.1
466,480,Jurassic Park (1993),Action|Adventure|Sci-Fi,m480,1993,62,197,683,1098,632,632,1098,4402,1525.8000000000002
346,356,Forrest Gump (1994),Comedy|Romance|War,m356,1994,54,118,354,723,945,945,723,3862,1461.8000000000002
1449,1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,m1580,1997,47,194,653,1122,522,522,1122,4182,1434.0
1148,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,m1240,1984,18,61,336,852,831,831,852,3781,1427.3000000000002
1173,1265,Groundhog Day (1993),Comedy|Romance,m1265,1993,36,121,460,958,703,703,958,3939,1426.7
1025,1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,m1097,1982,33,134,459,896,747,747,896,3912,1424.7
0,1,Toy Story (1995),Animation|Children's|Comedy,m1,1995,16,61,345,835,820,820,835,3732,1406.9
49,50,"Usual Suspects, The (1995)",Crime|Thriller,m50,1995,8,31,136,464,1144,1144,464,3391,1389.4
1124,1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,m1214,1979,33,71,297,762,861,861,762,3647,1388.5
443,457,"Fugitive, The (1993)",Action|Thriller,m457,1993,5,49,326,970,645,645,970,3610,1335.5
2511,2716,Ghostbusters (1984),Comedy|Horror,m2716,1984,24,106,503,967,581,581,967,3729,1326.4
3341,3578,Gladiator (2000),Action|Drama,m3578,2000,27,99,290,735,773,773,735,3432,1293.4
1104,1193,One Flew Over the Cuckoo's Nest (1975),Drama,m1193,1975,12,33,161,582,937,937,582,3244,1291.9
